1,IN9002A01024,RELIANCE INDUSTRIES LIMITED EQ PP RS. 2.50/-,RELIANCE INDUSTRIES LIMITED,EQUITY SHARES,SUSPENDED
2,IN9002A01032,RELIANCE INDUSTRIES LIMITED EQ NEW PP RS. 5/-,RELIANCE INDUSTRIES LIMITED,EQUITY SHARES,ACTIVE
3,IN9002B01014,SOFTSOL INDIA LIMITED PP PRODIV 310500,SOFTSOL INDIA LIMITED,EQUITY SHARES,BLOCKED DUE TO ACA
4,IN9003A01014,SIEMENS EQ PRODIV 261199,SIEMENS LIMITED,Equity Shares,Deleted
5,IN9003S01016,RENEW POWER VENTURES PRIVATE LIMITED EQ PP RS. 2.50/-,RENEW POWER PRIVATE LIMITED,EQUITY SHARES,DELETED
6,IN9004O01013,HINDUJA RENEWABLES ENERGY PRIVATE LIMITED EQ PP FV RS.5/-,HINDUJA RENEWABLES ENERGY PRIVATE LIMITED,EQUITY SHARES,ACTIVE
7,IN9005A01019,ICICI EQ-PRO-DIV180799,ICICI LIMITED,Equity Shares,Deleted
8,IN9005A01027,ICICI LIMITED PP PRODIV 011099,ICICI LIMITED,EQUITY SHARES,BLOCKED DUE TO ACA
9,IN9005A01035,ICICI FP PRODIV 011099,ICICI LIMITED,Equity Shares,Deleted
10,IN9005A01043,ICICI EQ PRODIV 090999,ICICI LIMITED,Equity Shares,Deleted
11,IN9005A01050,ICICI EQ PRODIV 270999,ICICI LIMITED,Equity Shares,Deleted
12,IN9005A01068,ICICI FP PRODIV 310300,ICICI LIMITED,Equity Shares,Deleted
13,IN9005B01017,AVANTEL LIMITED PP PRODIV 150300,AVANTEL LIMITED,Equity Shares,Deleted
14,IN9005K01018,MARKETOPPER SECURITIES PVT. LTD. EQ NEW PP RE. 1/-,MARKETOPPER SECURITIES PVT. LTD.,EQUITY SHARES,ACTIVE
15,IN9006B01015,INDUS NETWORKS EQ PRODIV 240200,INDUS NETWORKS LIMITED,Equity Shares,Deleted
16,IN9007N03014,FEDBANK FINANCIAL SERVICES LTD 0.01% PP PREF 31DC25,FEDBANK FINANCIAL SERVICES LTD,PREFERENCE SHARES,ACTIVE
17,IN9009A01011,INFOSYS INACTIVE-BONUS,INFOSYS LIMITED,Equity Shares,Deleted
18,IN9009A01029,INFOSYS INACTIVE,INFOSYS LIMITED,Equity Shares,Deleted
19,IN9009A01037,INFOSYS INACTIVE,INFOSYS LIMITED,Equity Shares,Deleted
20,IN9009A01045,INFOSYS INACTIVE,INFOSYS LIMITED,Equity Shares,Deleted
21,IN900IT03017,MILKY MIST DAIRY FOOD PRIVATE LIMITED 0.01% PARTLY PAID PREF 09AG23,MILKY MIST DAIRY FOOD PRIVATE LIMITED,PREFERENCE SHARES,ACTIVE
22,IN900LT01015,KONKAN LNG  LIMITED EQ NEW PP RS.5.50,KONKAN LNG  LIMITED,EQUITY SHARES,ACTIVE
