1,INA01A940096,94009 GOI 2001 11.75 FV RS 1000,94009 GOI 2001,Government Securities,Deleted
2,INA01A960045,96004 GOI 2001 13.85 FV IN RS.,96004 GOI 2001,Government Securities,Deleted
3,INA01A960185,96018 GOI 2001 13.55 FV IN RS.,96018 GOI 2001,Government Securities,Deleted
4,INA01A980134,98013 GOI 2001 11.55 FV RS 1000,98013 GOI 2001,Government Securities,Deleted
5,INA02A960168,96016 GOI 2002 13.82 FV RS 1000,96016 GOI 2002,Government Securities,Deleted
6,INA02A970118,97011 GOI 2002 11.15 FV RS 1000,97011 GOI 2002,Government Securities,Deleted
7,INA02A970126,97012 CIB 2002 6 FV RS 1000,97012 CIB 2002,Government Securities,Deleted
8,INA03A730016,73001 GOI 2003 5.75 FV IN RS.,73001 GOI 2003,Government Securities,Deleted
9,INA03A980041,98004 GOI 2003 11.1 FV RS. 1000,98004 GOI 2003,Government Securities,Deleted
10,INA04A860135,86013 GOI 2004 11.3 FV RS 1000,86013 GOI 2004,Government Securities,Deleted
11,INA04A940036,94003 GOI 2004 12.5 FV RS 1000,94003 GOI 2004,Government Securities,Deleted
12,INA04A970074,97007 GOI 2004 12.59 FV IN RS.,97007 GOI 2004,Government Securities,Deleted
13,INA04A980081,98008 GOI 2004 11.5 FV RS.1000,98008 GOI 2004,Government Securities,Deleted
14,INA05A000079,00007 GOI 2005 9.9 FV RS. 1000,00007 GOI 2005,Government Securities,Deleted
15,INA05A950042,95004 GOI 2005 13.75 FV RS 1000,95004 GOI 2005,Government Securities,Deleted
16,INA05A950067,95006 GOI 2005 14 FV IN RS.,95006 GOI 2005,Government Securities,Deleted
17,INA05A950125,95012 GOI 2005 14 FV RS 1000,95012 GOI 2005,Government Securities,Deleted
18,INA05A970107,97010 GOI 2005 11.19 FV RS 1000,97010 GOI 2005,Government Securities,Deleted
19,INA06A860075,86007 GOI 2006 11.5 FV RS 1000,86007 GOI 2006,Government Securities,Deleted
20,INA06A960156,96015 GOI 2006 13.85 FV IN RS.,96015 GOI 2006,Government Securities,Deleted
21,INA06A990088,99008 GOI 2006 11.68 FV RS 1000,99008 GOI 2006,Government Securities,Deleted
22,INA07A870115,87011 GOI 2007 11.5 FV RS 1000,87011 GOI 2007,Government Securities,Deleted
23,INA07A970022,97002 GOI 2007 13.05 FV IN RS.,97002 GOI 2007,Government Securities,Deleted
24,INA08A840026,84002 GOI 2008 9.5 FV RS 1000,84002 GOI 2008,Government Securities,Deleted
25,INA08A880089,88008 GOI 2008 11.5 FV RS 1000,88008 GOI 2008,Government Securities,Deleted
26,INA08A980079,98007 GOI 2008 12 FV RS 1000,98007 GOI 2008,Government Securities,Deleted
27,INA08A980236,98023 GOI 2008 12.25 FV RS 1000,98023 GOI 2008,Government Securities,Deleted
28,INA10A000148,00014 GOI 2010 11.30 FV RS 1000,00014 GOI 2010,Government Securities,Deleted
29,INA10A800034,80003 GOI 2010 7.5 FV RS 1000,80003 GOI 2010,Government Securities,Deleted
30,INA10A900107,90010 GOI 2010 11.5 FV RS 1000,90010 GOI 2010,Government Securities,Deleted
31,INA10A980158,98015 GOI 2010 12.25 FV IN RS.,98015 GOI 2010,Government Securities,Deleted
32,INA11A000170,00017 GOI 2011 11.5 FV RS. 1000,00017 GOI 2011,Government Securities,Deleted
33,INA11A010070,01007 GOI 2011 9.39 FV RS. 1000,01007 GOI 2011,Government Securities,Deleted
34,INA11A810057,81005 GOI 2011 8 FV RS 1000,81005 GOI 2011,Government Securities,Deleted
35,INA11A910121,91012 GOI 2011 11.50 FV RS 1000,91012 GOI 2011,Government Securities,Deleted
36,INA11A990057,99005 GOI 2011 12.32 FV RS 1000,99005 GOI 2011,Government Securities,Deleted
37,INA12A000120,00012 GOI 2012 11.03 FV RS 1000,00012 GOI 2012,Government Securities,Deleted
38,INA12A010095,01009 GOI 2012 9.4 FV RS. 1000,01009 GOI 2012,Government Securities,Deleted
39,INA12A840053,84005 GOI 2012 10.25 FV RS 1000,84005 GOI 2012,Government Securities,Deleted
40,INA13A010052,01005 GOI 2013 9.81 FV RS.1000,01005 GOI 2013,Government Securities,Deleted
41,INA13A820054,82005 GOI 2013 9 FV RS 1000,82005 GOI 2013,Government Securities,Deleted
42,INA14A830045,83004 GOI 2014 10 FV RS 1000,83004 GOI 2014,Government Securities,Deleted
43,INA14A840101,84010 GOI 2014 10.5 FV IN RS.,84010 GOI 2014,Government Securities,Deleted
44,INA14A990203,99020 GOI 2014 11.83 FV RS 1000,99020 GOI 2014,Government Securities,Deleted
45,INA15A000150,00015 GOI 2015 11.43 FV RS 1000,00015 GOI 2015,Government Securities,Deleted
46,INA15A010118,01011 GOI 2015 9.85 FV RS.1000,01011 GOI 2015,Government Securities,Deleted
47,INA15A850075,85007 GOI 2015 11.5 FV IN RS.,85007 GOI 2015,Government Securities,Deleted
48,INA17A020016,02001 GOI 2017 8.07 FV RS 10000,02001 GOI 2017,Government Securities,Deleted
49,INA18A980259,98025 GOI 2018 12.60 FV IN RS.,98025 GOI 2018,Government Securities,Deleted
50,INA19A010080,01008 GOI 2019 10.03 FV RS 1000,01008 GOI 2019,Government Securities,Deleted
51,INA20A000088,00008 GOI 2020 10.7 FV RS 1000,00008 GOI 2020,Government Securities,Deleted
52,INA20A000187,00018 GOI 2020 11.6 FV RS.1000,00018 GOI 2020,Government Securities,Deleted
53,INA21A010060,01006 GOI 2021 10.25 FV RS 1000,01006 GOI 2021,Government Securities,Deleted
