ISIN,NAME
"INF044D01BU9","Taurus Flexi Cap Growth Direct Plan"
"INF044D01BV7","Taurus Flexi Cap IDCW Payout Direct Plan"
"INF044D01BW5","Taurus Flexi Cap IDCW Reinvest Direct Plan"
"INF090I01FK3","Franklin India Flexi Cap Growth Direct Plan"
"INF090I01FL1","Franklin India Flexi Cap IDCW Payout Direct Plan"
"INF090I01FM9","Franklin India Flexi Cap IDCW Reinvest Direct Plan"
"INF174K01LR4","Kotak Flexicap IDCW Payout Direct Plan"
"INF174K01LR4","Kotak Flexicap IDCW Reinvest Direct Plan"
"INF174K01LS2","Kotak Flexicap Growth Direct Plan"
"INF179K01UT0","HDFC Flexicap Growth Direct Plan"
"INF179K01VL5","HDFC Flexicap IDCW Payout Direct Plan"
"INF179K01VL5","HDFC Flexicap IDCW Reinvest Direct Plan"
"INF192K01CA1","JM Flexicap IDCW Payout Direct Plan"
"INF192K01CC7","JM Flexicap Growth Direct Plan"
"INF192K01CB9","JM Flexicap IDCW Reinvest Direct Plan"
"INF194K01W62","IDFC Flexi Cap Growth Direct Plan"
"INF194K01W70","IDFC Flexi Cap IDCW Payout Direct Plan"
"INF194K01W70","IDFC Flexi Cap IDCW Reinvest Direct Plan"
"INF200K01UF3","SBI Flexicap IDCW Payout Direct Plan"
"INF200K01UF3","SBI Flexicap IDCW Reinvest Direct Plan"
"INF200K01UG1","SBI Magnum Flexicap Growth Direct Plan"
"INF209K01XX1","Aditya Birla Sun Life Flexi Cap Growth Direct Plan"
"INF209KA1LE0","Aditya Birla Sun Life Flexi Cap IDCW Payout Direct Plan"
"INF209KA1LE0","Aditya Birla Sun Life Flexi Cap IDCW Reinvest Direct Plan"
"INF247L01502","Motilal Oswal Flexi Cap Growth Direct Plan"
"INF247L01510","Motilal Oswal Flexi Cap IDCW Reinvest Direct Plan"
"INF247L01528","Motilal Oswal Flexi Cap IDCW Payout Direct Plan"
"INF277K015K0","Tata Flexi Cap Growth Direct Plan"
"INF277K016K8","Tata Flexi Cap IDCW Payout Direct Plan"
"INF277K016K8","Tata Flexi Cap IDCW Reinvest Direct Plan"
"INF336L01DG7","HSBC Flexi Cap IDCW Payout Direct Plan"
"INF336L01DG7","HSBC Flexi Cap IDCW Reinvest Direct Plan"
"INF336L01DH5","HSBC Flexi Cap Growth Direct Plan"
"INF397L01HC9","IDBI Flexi Cap IDCW Payout Direct Plan"
"INF397L01HD7","IDBI Flexi Cap IDCW Reinvest Direct Plan"
"INF397L01HF2","IDBI Flexi Cap Growth Direct Plan"
"INF582M01633","Union Flexicap Growth Direct Plan"
"INF582M01641","Union Flexicap IDCW Reinvest Direct Plan"
"INF582M01658","Union Flexicap IDCW Payout Direct Plan"
"INF663L01FF1","PGIM India Flexi Cap Growth Direct Plan"
"INF663L01FG9","PGIM India Flexi Cap IDCW Payout Direct Plan"
"INF663L01FH7","PGIM India Flexi Cap IDCW Reinvest Direct Plan"
"INF680P01109","Shriram Flexi Cap Growth Direct Plan"
"INF680P01125","Shriram Flexi Cap IDCW Reinvest Direct Plan"
"INF680P01125","Shriram Flexi Cap IDCW Payout Direct Plan"
"INF740K01PI2","DSP Flexi Cap Growth Direct Plan"
"INF740K01PJ0","DSP Flexi Cap IDCW Payout Direct Plan"
"INF740K01PJ0","DSP Flexi Cap IDCW Reinvest Direct Plan"
"INF760K01ED5","Canara Robeco Flexi Cap IDCW Payout Direct Plan"
"INF760K01EE3","Canara Robeco Flexi Cap IDCW Reinvest Direct Plan"
"INF760K01EF0","Canara Robeco Flexi Cap Growth Direct Plan"
"INF767K01EF5","LIC MF Flexi Cap IDCW Payout Direct Plan"
"INF767K01EG3","LIC MF Flexi Cap Growth Direct Plan"
"INF767K01EH1","LIC MF Flexi Cap IDCW Reinvest Direct Plan"
"INF789F01TA8","UTI Flexi Cap IDCW Payout Direct Plan"
"INF789F01TB6","UTI Flexi Cap IDCW Reinvest Direct Plan"
"INF789F01TC4","UTI Flexi Cap Growth Direct Plan"
"INF843K01KK1","Edelweiss Flexi Cap Growth Direct Plan"
"INF843K01KL9","Edelweiss Flexi Cap IDCW Payout Direct Plan"
